Close,Timestamp,High,Low,Open
9400.85445088,1517496900,9400.85445088,9370.0,9372.00000001
9412.9999945,1517497500,9412.99999763,9375.68455369,9379.99999997
9410.00000036,1517497800,9449.5326385,9393.00000114,9412.99999318
9375.0,1517498100,9429.99999725,9373.94432673,9420.03499994
9367.43814562,1517498400,9388.73263849,9363.23785592,9374.0
9365.0,1517498700,9379.33978873,9360.0,9367.43814562
9390.33978874,1517499000,9390.33978874,9350.00010115,9366.00059
9371.0000551,1517499300,9391.73978872,9370.00036,9390.33978874
9357.99999996,1517499600,9390.33978876,9350.00000006,9371.00005511
9289.00000372,1517499900,9350.00000006,9263.40291576,9350.00000006
9282.1,1517500200,9300.0,9268.7140248,9289.0000037
9312.53405687,1517500500,9346.49999997,9276.0001011,9276.00010111
9289.09999852,1517500800,9342.13405683,9269.27302917,9312.53405687
9238.80800002,1517501100,9289.1,9202.0,9289.09999852
9229.43685593,1517501400,9263.48603496,9202.00000004,9214.54892906
9277.0,1517501700,9285.56138953,9202.00000001,9202.00000004
9274.73003504,1517502000,9285.5613895,9211.01000005,9285.46
9167.52379364,1517502300,9273.99999935,9166.07635825,9255.00000007
9102.0,1517502600,9200.523794,9102.0,9166.07635825
9090.0,1517502900,9105.0,9021.0,9105.0
9169.89999997,1517503200,9193.99999999,9073.25083309,9073.25083309
9124.99999999,1517503500,9246.62112486,9124.99999997,9144.98974458
9073.89999996,1517503800,9181.29309358,9030.0,9124.99999999
9067.17042185,1517504100,9140.0,9032.51500003,9048.42900006
9110.00000001,1517504400,9136.00244202,9033.55000091,9067.17042197
9060.00000047,1517504700,9123.40291556,9021.0,9110.00000001
9114.00000006,1517505000,9136.00244195,9061.10000006,9078.49999981
9070.0,1517505300,9114.00000005,9063.34999997,9114.00000003
9060.00000023,1517505600,9070.0,9040.00001009,9070.0
9108.99999944,1517505900,9126.58504931,9058.00000001,9060.00000023
9083.6706326,1517506200,9120.0,9070.00000071,9113.89999856
9146.40082454,1517506500,9195.0,9083.67063276,9083.67063276
9168.99999979,1517506800,9191.42177833,9119.49340771,9147.10082453
9119.4934077,1517507100,9188.32177796,9119.4934077,9169.00000027
9119.95935537,1517507400,9137.57224859,9083.67063292,9118.06865661
9114.93263848,1517507700,9149.79834467,9093.4256125,9118.06865521
9112.44992693,1517508000,9119.25810254,9083.67063292,9119.25810254
9113.00000001,1517508300,9158.01217657,9112.44992693,9112.44992693
9170.33240845,1517508600,9171.05890678,9120.3679221,9120.3679221
9155.99999978,1517508900,9172.25890679,9142.9999968,9168.99999993
9175.12650509,1517509200,9179.0,9142.9999968,9156.09999977
9113.99999998,1517509500,9173.39342511,9113.99999963,9173.39342511
9098.0,1517509800,9130.40314506,9098.0,9113.99999999
9095.50314596,1517510100,9107.06198585,9081.26715452,9105.89455939
